EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
58183000;1;01/07/2020;;1;1;173,176;148,445;161,443;1;26;1;1;1;;0;173,176;168,113;165,604;163,108;163,108;164,105;164,105;164,105;163,606;162,611;163,108;165,103;163,108;163,108;164,105;162,114;158,162;162,611;163,108;164,604;157,179;153,76;154,734;151,819;150,37;148,445;155,222;160,628;164,604;165,103;162,114;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/06/2020;;1;1;177,782;52,381;149,349;28;1;1;1;1;;0;52,381;96,112;101,03;99,38;101,03;114,602;139,436;159,146;163,606;162,611;164,105;163,108;164,105;163,108;162,114;163,108;161,123;160,628;164,105;163,108;161,123;163,108;165,103;163,606;160,628;156,199;169,121;177,782;172,667;173,176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58183000;1;01/05/2020;;1;1;56,411;36,265;46,049;8;28;1;1;1;;0;49,617;48,003;45,387;42,862;46,945;50,162;52,381;56,411;54,085;50,711;51,821;49,075;48,537;50,162;49,617;54,085;48,537;44,875;44,875;43,861;43,36;43,36;39,477;41,877;40,427;41,39;39,008;36,265;38,542;40,427;41,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58183000;1;01/04/2020;;1;1;101,859;46,945;57,564;1;21;1;1;1;0;0;101,859;78,004;69,644;63,125;59,404;55,24;63,759;66,988;59,404;61,247;61,247;54,661;54,085;57,596;55,824;57,002;55,824;51,821;50,162;48,537;46,945;49,075;54,661;52,381;54,085;50,162;48,003;50,162;49,075;46,945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58183000;1;01/03/2020;;1;1;249,362;63,759;104,218;1;28;1;1;1;0;0;249,362;187,133;160,628;150,852;134,782;117,658;106,464;109,009;104,781;101,03;97,741;88,518;81,663;73,055;73,055;90,089;94,897;83,157;81,663;84,667;103,943;98,559;86,195;76,569;70,318;66,988;64,397;63,759;87,739;114,168;127,916;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/02/2020;;1;1;362;101;181;28;21;2;2;2;0;0;104;156;180;189;193;259;261;214;196;156;212;191;192;173;139;115;109;109;107;106;101;109;116;119;150;262;349;362;309;;;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
58183000;1;01/10/2019;;1;1;165,103;138,968;151,082;25;31;1;1;1;;0;150,37;146,054;145,577;140,844;143,677;145,577;149,888;153,76;159,146;162,114;161,618;150,37;151,335;143,677;140,374;144,626;147,487;150,37;151,819;151,335;151,335;156,689;159,639;160,628;165,103;157,67;155,222;154,734;148,445;145,101;138,968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58183000;1;01/09/2019;;1;1;165,604;124,311;146,127;4;15;1;1;1;;0;165,103;163,108;165,103;165,604;160,133;159,639;155,222;154,734;148,926;144,626;140,844;141,786;132,019;129,278;124,311;125,658;125,208;127,916;133,859;139,436;140,844;147,966;142,258;144,626;151,335;149,406;152,303;153,274;148,926;150,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
58183000;1;01/08/2019;;1;1;174,706;137,102;163,499;4;1;1;1;1;;0;137,102;143,677;160,133;174,706;173,686;171,144;169,626;174,706;170,638;172,667;167,108;163,606;165,103;162,611;160,133;159,639;163,108;163,108;165,103;163,108;163,108;159,639;160,133;164,604;164,604;162,611;162,114;159,639;164,105;163,606;163,606;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
58183000;1;01/07/2019;;1;1;216,834;111,577;129,475;6;25;1;1;1;;0;118,097;113,735;112,007;125,658;171,651;216,834;200,964;174,706;137,568;131,561;125,658;125,208;123,416;120,302;120,745;122,969;121,633;121,633;118,978;116,345;118,097;116,782;113,302;112,007;111,577;116,782;118,978;123,416;122,969;119,86;120,302;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
